Variant,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TN,FP,FN,TP,Inference Time (ms)
Baseline (Class-Weighted),0.05638586956521739,0.8736842105263158,0.10593490746649649,0.9656548079701293,0.6719244530518995,55262,1389,12,83,4.236800014041364
SMOTE (Oversampled),0.053035143769968054,0.8736842105263158,0.1,0.9626184886409772,0.6750409387333339,55169,1482,12,83,3.848399966955185
Undersampled,0.050425273390036454,0.8736842105263158,0.09534750143595634,0.9571076461696685,0.5895570356891764,55088,1563,12,83,4.428699961863458
