Model Variant,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TN,FP,FN,TP,Inference Time (ms)
Logistic Regression (Baseline),0.05638586956521739,0.8736842105263158,0.10593490746649649,0.9656548079701293,0.6719244530518995,55262,1389,12,83,9.499600040726364
Logistic Regression (SMOTE),0.053035143769968054,0.8736842105263158,0.1,0.9626184886409772,0.6750409387333339,55169,1482,12,83,4.942799918353558
Logistic Regression (Undersampled),0.050425273390036454,0.8736842105263158,0.09534750143595634,0.9571076461696685,0.5895570356891764,55088,1563,12,83,4.426399944350123
XGBoost (SMOTE),0.7956989247311828,0.7789473684210526,0.7872340425531915,0.9693493588165396,0.8186481634028907,56632,19,21,74,44.86539994832128
PyTorch DNN (SMOTE),0.5846153846153846,0.8,0.6755555555555556,0.9513960361177254,0.7171901286100331,56597,54,19,76,17.957299947738647
PyTorch Autoencoder (Baseline),0.16891891891891891,0.5263157894736842,0.2557544757033248,0.9276588233217419,0.20127910996924223,56405,246,45,50,3.2982000848278403
